cond,item,layer,ent,log_T,log_I,log_F
kable_true,0,19,0.11489927782135473,-5.220219923792774,-6.999917063353795,-6.793757585489821
kable_true,0,20,0.15792303613914127,-4.147772843748841,-4.3550257539790405,-5.480472753696701
kable_true,0,21,0.2663123836990204,-3.5553230567424277,-4.106101165540933,-4.795578768926767
kable_true,0,22,0.32963902672431106,-3.5027029843853925,-3.957391870696929,-4.304533069240829
kable_true,0,23,0.20110663936490797,-3.5201689992349348,-4.01837490207488,-4.921864606597776
kable_true,0,24,0.20733372945001285,-3.5186249838272063,-4.372538238095984,-5.111153053428441
kable_true,0,25,0.27235883378005377,-3.1886497652215855,-3.9907653089474495,-4.564778304485306
kable_true,0,26,0.31976543449156863,-2.9672616355212353,-4.053777437745948,-4.296427950862085
kable_true,0,27,0.277519932884906,-1.2359957412642,-3.327483434223803,-3.5451736519276977
kable_true,0,28,0.1779955434253883,-2.0684753628861574,-2.6006588799071007,-4.180613503903089
kable_true,0,29,0.058856349911359254,-2.7414270585065785,-2.871600884878516,-4.898271047017273
kable_true,0,30,0.044168558585833344,-3.2331004356541584,-3.155763298534268,-4.891266560503834
kable_true,1,18,0.07995408806219309,-4.119293663526257,-5.833315475376916,-6.028189166618985
kable_true,1,19,0.08806885371470652,-4.89589045952038,-5.876973678456786,-6.810777755279592
kable_true,1,20,0.24793529570300543,-2.852709966905254,-2.2196509417934447,-4.448550144592644
kable_true,1,21,0.3008631815538401,-2.5126908985178886,-1.8273978119480878,-3.8283949474784382
kable_true,1,22,0.0565994006509697,-3.6852634220056566,-2.328272480602889,-4.225465009580648
kable_true,1,23,0.10378474518665189,-3.7324723940844624,-0.7036132408512109,-4.120966389782404
kable_true,1,24,0.06572330903766059,-3.96911629044509,-0.0751493625754709,-4.646404924330647
kable_true,1,25,0.1063386267316771,-4.159943382059506,-0.16686501763767514,-4.6414029438329445
kable_true,1,26,0.12858363138945736,-4.060338277582316,-0.21830631449288332,-4.4645185798623475
kable_true,1,27,0.11708936513803582,-4.372396506555479,-0.8418519477051372,-5.006743754507911
kable_true,1,28,0.04146827169539183,-4.863614645104881,-1.1907404082108357,-5.648929843465241
kable_true,1,29,0.012403860979742854,-5.55989835243692,-1.8558044307765944,-6.41838979684839
kable_true,1,30,0.01874691827209393,-5.205342030030819,-2.024138607739987,-5.947557469221898
kable_true,2,18,0.1506564119634578,-5.20751024290937,-5.3461639597334925,-5.810535701851132
kable_true,2,19,0.14606981217457177,-5.933029923449673,-5.515563634606467,-6.584941042845006
